Product_ASIN,Review_Date,avg_sentiment,review_count
B00FWLG5AG,2023-06-25,0.4962122440338135,1
B00FWLG5AG,2024-07-14,0.9776655435562134,1
B00FWLG5AG,2024-08-25,0.977777659893036,1
B00FWLG5AG,2024-09-01,0.8456892371177673,1
B00FWLG5AG,2024-09-22,0.647955060005188,2
B00FWLG5AG,2024-10-13,0.8297315239906311,1
B00FWLG5AG,2024-11-17,0.9919978976249696,1
B00FWLG5AG,2025-01-05,0.9253039956092834,2
B00HVLUR18,2016-07-10,0.8450837135314941,1
B00HVLUR18,2021-07-11,0.4142336845397949,1
B00HVLUR18,2024-10-13,0.399820864200592,1
B00HVLUR18,2024-10-27,0.9589744806289672,1
B00HVLUR18,2024-11-03,0.5933254957199097,1
B00HVLUR18,2024-11-10,0.9636223316192628,1
B00HVLUR18,2024-12-15,0.9647815823554992,1
B00HVLUR18,2024-12-22,0.7313010692596436,1
B00HVLUR18,2024-12-29,0.43336221575737,1
B00HVLUR18,2025-01-12,0.7332636117935181,2
B00K0AMYFO,2024-10-06,0.9787760376930236,1
B00K0AMYFO,2024-10-20,0.6946346759796143,2
B00K0AMYFO,2024-11-03,0.8251845836639404,2
B00K0AMYFO,2024-11-10,0.8991348147392273,1
B00K0AMYFO,2024-11-17,0.9248281121253968,1
B00K0AMYFO,2024-12-08,0.6678541898727417,1
B00K0AMYFO,2025-01-05,0.8042622208595276,1
B00K0AMYFO,2025-01-12,0.9771011471748352,1
B00KGZZ824,2019-03-03,0.4712709486484527,1
B00KGZZ824,2024-09-15,0.90496826171875,1
B00KGZZ824,2024-10-13,0.932933747768402,1
B00KGZZ824,2024-12-15,0.9389130473136902,1
B00KGZZ824,2024-12-22,0.8856642246246338,2
B00KGZZ824,2024-12-29,0.8078783551851908,3
B00KGZZ824,2025-01-05,0.4212986528873443,1
B019EACGSU,2021-07-25,0.9034850001335144,1
B019EACGSU,2021-08-01,0.5203539133071899,1
B019EACGSU,2023-07-02,0.7075963616371155,1
