Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Rating,Reviews,Product_Link,Delivery_Date,Service,Scraped_At
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",B0F4R3GFMQ,HP,"₹38,490","₹52,721",27% off,3.8 out of 5 stars,310,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-11,"Fri, 12 Sept",,2025-09-09 19:14:47
"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 8 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.6KG, AL15-41, Metal Body, Premium Thin and Light Laptop",B0CWTSF1TK,Acer,"₹29,990","₹44,990",33% off,3.9 out of 5 stars,"1,512",https://www.amazon.in/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-12,"Fri, 12 Sept",,2025-09-09 19:14:47
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",B0CWTYGPH8,Acer,"₹28,990","₹46,990",38% off,3.9 out of 5 stars,"1,512",https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_13?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-13,"Fri, 12 Sept",,2025-09-09 19:14:47
"HP 14 (2025), 245 G10 AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/14.0"" HD Display/Ash Grey/1.36 kg",B0F6V25PSC,HP,"₹28,833","₹48,000",40% off,4.0 out of 5 stars,36,https://www.amazon.in/HP-14-Ryzen-7520U-Quad/dp/B0F6V25PSC/ref=sr_1_14?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-14,"Wed, 17 Sept",,2025-09-09 19:14:47
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office 2024, Platinum Silver, 1.67 kg, Thin & Light Laptop",B0DSFRQTGB,Dell,"₹42,990","₹48,322",11% off,3.9 out of 5 stars,59,https://www.amazon.in/Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=sr_1_15?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-15,"Fri, 12 Sept",,2025-09-09 19:14:47
"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB UFS 2.2 Storage | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | 11.6-Inch Thin & Light Laptop | in-Built AI | Type-C, USB, MicroSD | Gray",B0FDLB7BQZ,Primebook,"₹15,490","₹24,990",38% off,4.7 out of 5 stars,178,https://www.amazon.in/Primebook-Storage-MediaTek-Android-PrimeOS/dp/B0FDLB7BQZ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-16,"Sun, 14 Sept",,2025-09-09 19:14:47
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop",B0F8P4Y7VF,HP,"₹67,990","₹83,704",19% off,3.8 out of 5 stars,24,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0Mjk0OTUyMTMxOTY5OjE3NTc0MjU0ODk6c3BfYXRmX25leHQ6MzAwNjQ3MjI5ODE5OTMyOjowOjo&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.GoHVEX-9IPNkg1VizHK-K5a2ymhE-HWtCDYPDioQxNezdNlXJWPvHN-YyTO44_DWvehd7Ug834_S4cJcePfxrS94Ua7GVgs0QsSOqvSH2DEhULUsl9wyfMh19dqsx1FHXuW9KDXTvcdjjUNRe080lb5CK-9bcoKYKjUtdk60XuXu6q6IoahS2lcg2XqedWWexT9L61IV-x1dFbvUU1qVHzEFYBR_6A2pgbCcrvWThcA.aQGrTxBk_OnkINFnbLCxMLQ7i-Py_7VAShSAXA0j7-o%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1757425489%26sr%3D8-17-spons%26xpid%3DuGu34__b-XVau%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=XCvFJyYctD&sp_cr=ZAZ,"Fri, 12 Sept",,2025-09-09 19:14:51
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU",B0F4R6H3NB,HP,"₹54,990","₹70,841",22% off,3.8 out of 5 stars,155,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0Mjk0OTUyMTMxOTY5OjE3NTc0MjU0ODk6c3BfYXRmX25leHQ6MzAwNjcyNTg1MTYzMTMyOjowOjo&url=%2FHP-i5-1335U-Anti-Glare-Micro-edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.GoHVEX-9IPNkg1VizHK-K5a2ymhE-HWtCDYPDioQxNezdNlXJWPvHN-YyTO44_DWvehd7Ug834_S4cJcePfxrS94Ua7GVgs0QsSOqvSH2DEhULUsl9wyfMh19dqsx1FHXuW9KDXTvcdjjUNRe080lb5CK-9bcoKYKjUtdk60XuXu6q6IoahS2lcg2XqedWWexT9L61IV-x1dFbvUU1qVHzEFYBR_6A2pgbCcrvWThcA.aQGrTxBk_OnkINFnbLCxMLQ7i-Py_7VAShSAXA0j7-o%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1757425489%26sr%3D8-18-spons%26xpid%3DuGu34__b-XVau%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=Qt3vrYVGL8&sp_cr=ZAZ,"Fri, 12 Sept",,2025-09-09 19:14:51
"HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, Upgrade (Upto 32GB) 16GB RAM, 1TB SSD, 144Hz, 300nits, IPS, 15.6""/39.6cm, FHD, Win11, M365* Office 24, Blue, 2.29Kg, Backlit, fb3025AX, AI Gaming Laptop",B0DTJ3PX6T,HP,"₹98,999","₹1,24,319",20% off,3.8 out of 5 stars,62,https://www.amazon.in/HP-9-8945HS-Upgrade-300nits-fb3025AX/dp/B0DTJ3PX6T/ref=sr_1_19?dib=eyJ2IjoiMSJ9.GoHVEX-9IPNkg1VizHK-K5a2ymhE-HWtCDYPDioQxNezdNlXJWPvHN-YyTO44_DWvehd7Ug834_S4cJcePfxrS94Ua7GVgs0QsSOqvSH2DEhULUsl9wyfMh19dqsx1FHXuW9KDXTvcdjjUNRe080lb5CK-9bcoKYKjUtdk60XuXu6q6IoahS2lcg2XqedWWexT9L61IV-x1dFbvUU1qVHzEFYBR_6A2pgbCcrvWThcA.aQGrTxBk_OnkINFnbLCxMLQ7i-Py_7VAShSAXA0j7-o&dib_tag=se&keywords=laptops&qid=1757425489&sr=8-19&xpid=uGu34__b-XVau,"Fri, 12 Sept",,2025-09-09 19:14:51
ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,B0F5WTFC3D,ULTIMUS,"₹17,990","₹39,990",55% off,3.5 out of 5 stars,45,https://www.amazon.in/ULTIMUS-Laptop-Celeron-Expandable-1TB-Anti-Glare/dp/B0F5WTFC3D/ref=sr_1_20?dib=eyJ2IjoiMSJ9.GoHVEX-9IPNkg1VizHK-K5a2ymhE-HWtCDYPDioQxNezdNlXJWPvHN-YyTO44_DWvehd7Ug834_S4cJcePfxrS94Ua7GVgs0QsSOqvSH2DEhULUsl9wyfMh19dqsx1FHXuW9KDXTvcdjjUNRe080lb5CK-9bcoKYKjUtdk60XuXu6q6IoahS2lcg2XqedWWexT9L61IV-x1dFbvUU1qVHzEFYBR_6A2pgbCcrvWThcA.aQGrTxBk_OnkINFnbLCxMLQ7i-Py_7VAShSAXA0j7-o&dib_tag=se&keywords=laptops&qid=1757425489&sr=8-20&xpid=uGu34__b-XVau,"Fri, 12 Sept",,2025-09-09 19:14:51
